https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1628726400000,2021-08-12 00:00:00,BTC/USDT,45510.67000000,46218.12000000,43770.00000000,44399.00000000,55266.10878100,2478758524.86417613,1623329
1628640000000,2021-08-11 00:00:00,BTC/USDT,45585.00000000,46743.47000000,45341.14000000,45511.00000000,52734.90197700,2432788769.83269651,1862925
1628553600000,2021-08-10 00:00:00,BTC/USDT,46248.87000000,46700.00000000,44589.46000000,45584.99000000,53814.64342100,2452485823.93365419,1951330
1628467200000,2021-08-09 00:00:00,BTC/USDT,43794.36000000,46454.15000000,42779.00000000,46253.40000000,74587.88484500,3362870286.25811797,2130595
1628380800000,2021-08-08 00:00:00,BTC/USDT,44572.54000000,45310.00000000,43261.00000000,43794.37000000,69329.09269800,3074924734.87934016,1857112
1628294400000,2021-08-07 00:00:00,BTC/USDT,42836.87000000,44700.00000000,42446.41000000,44572.54000000,73396.74080800,3197407326.03679334,2258213
1628208000000,2021-08-06 00:00:00,BTC/USDT,40862.46000000,43392.43000000,39853.86000000,42836.87000000,75753.94134700,3148022459.91615849,2223356
1628121600000,2021-08-05 00:00:00,BTC/USDT,39723.17000000,41350.00000000,37332.70000000,40862.46000000,84343.75562100,3314527738.33973321,1913281
1628035200000,2021-08-04 00:00:00,BTC/USDT,38207.04000000,39969.66000000,37508.56000000,39723.18000000,52329.35243000,2028792778.18480471,1220555
1627948800000,2021-08-03 00:00:00,BTC/USDT,39146.86000000,39780.00000000,37642.03000000,38207.05000000,57117.43585300,2195360658.56732878,1379871
1627862400000,2021-08-02 00:00:00,BTC/USDT,39850.27000000,40480.01000000,38690.00000000,39147.82000000,50837.35195400,2010928003.59440882,1162878
1627776000000,2021-08-01 00:00:00,BTC/USDT,41461.84000000,42599.00000000,39422.01000000,39845.44000000,53953.18632600,2227567271.48786541,1603964
1627689600000,2021-07-31 00:00:00,BTC/USDT,42206.36000000,42448.00000000,41000.15000000,41461.83000000,44849.79101200,1868285510.88467891,1565380
1627603200000,2021-07-30 00:00:00,BTC/USDT,40018.49000000,42316.71000000,38313.23000000,42206.37000000,73602.78480500,2939833541.38153644,1797012
1627516800000,2021-07-29 00:00:00,BTC/USDT,40019.57000000,40640.00000000,39200.00000000,40016.48000000,53998.43928300,2154190697.34531810,1428738
1627430400000,2021-07-28 00:00:00,BTC/USDT,39456.61000000,40900.00000000,38772.00000000,40019.56000000,101344.52844100,4040889461.66152784,2631048
1627344000000,2021-07-27 00:00:00,BTC/USDT,37241.33000000,39542.61000000,36383.00000000,39457.87000000,88397.26701500,3335658261.99554664,1938478
1627257600000,2021-07-26 00:00:00,BTC/USDT,35381.02000000,40550.00000000,35205.78000000,37237.60000000,152452.51272400,5832475057.06567638,3330102
1627171200000,2021-07-25 00:00:00,BTC/USDT,34261.51000000,35398.00000000,33851.12000000,35381.02000000,47852.92831300,1646935552.80554462,1245775
1627084800000,2021-07-24 00:00:00,BTC/USDT,33634.10000000,34500.00000000,33401.14000000,34258.14000000,47977.55013800,1625046258.43655218,1196914
1626998400000,2021-07-23 00:00:00,BTC/USDT,32287.58000000,33650.00000000,31924.32000000,33634.09000000,50112.86362600,1631947003.07304657,1394786
1626912000000,2021-07-22 00:00:00,BTC/USDT,32144.51000000,32591.35000000,31708.00000000,32287.83000000,46148.09243300,1482763544.95053643,1000742
1626825600000,2021-07-21 00:00:00,BTC/USDT,29790.34000000,32858.00000000,29482.61000000,32144.51000000,82796.26512800,2603140706.08222436,1415058
1626739200000,2021-07-20 00:00:00,BTC/USDT,30839.65000000,31063.07000000,29278.00000000,29790.35000000,61034.04901700,1821230700.02039109,1062139
1626652800000,2021-07-19 00:00:00,BTC/USDT,31778.57000000,31899.00000000,30407.44000000,30839.65000000,47340.46849900,1470563281.93650284,846029
1626566400000,2021-07-18 00:00:00,BTC/USDT,31520.07000000,32435.00000000,31108.97000000,31778.56000000,35923.71618600,1140964365.64660148,760979
1626480000000,2021-07-17 00:00:00,BTC/USDT,31383.86000000,31955.92000000,31164.31000000,31520.07000000,34012.24213200,1072815966.33630751,883442
1626393600000,2021-07-16 00:00:00,BTC/USDT,31874.49000000,32249.18000000,31020.00000000,31383.87000000,48499.86415400,1538342711.57965672,1067591
1626307200000,2021-07-15 00:00:00,BTC/USDT,32820.03000000,33185.25000000,31133.00000000,31880.00000000,51639.57635300,1652077965.43655981,1099367
1626220800000,2021-07-14 00:00:00,BTC/USDT,32729.12000000,33114.03000000,31550.00000000,32820.02000000,46777.82348400,1515692074.98754753,1123129
1626134400000,2021-07-13 00:00:00,BTC/USDT,33086.94000000,33340.00000000,32202.25000000,32729.77000000,41126.36100800,1348583017.01034310,956053
1626048000000,2021-07-12 00:00:00,BTC/USDT,34259.00000000,34678.43000000,32658.34000000,33086.63000000,48181.40376200,1620646741.33496329,1176847
1625961600000,2021-07-11 00:00:00,BTC/USDT,33502.87000000,34666.00000000,33306.47000000,34258.99000000,31572.64744800,1070033013.19204486,952891
1625875200000,2021-07-10 00:00:00,BTC/USDT,33815.81000000,34262.00000000,33004.78000000,33502.87000000,34761.17546800,1171790111.08299535,865508
1625788800000,2021-07-09 00:00:00,BTC/USDT,32875.71000000,34100.00000000,32261.07000000,33815.81000000,47153.93989900,1562958239.39137620,1236351
1625702400000,2021-07-08 00:00:00,BTC/USDT,33862.11000000,33929.64000000,32077.00000000,32875.71000000,70136.48032000,2304973020.29871520,1257892
1625616000000,2021-07-07 00:00:00,BTC/USDT,34220.02000000,35059.09000000,33777.77000000,33862.12000000,53807.52167500,1857658028.48080391,1041416
1625529600000,2021-07-06 00:00:00,BTC/USDT,33690.15000000,35118.88000000,33532.00000000,34220.01000000,58210.59634900,1991691100.94826585,1184687
1625443200000,2021-07-05 00:00:00,BTC/USDT,35288.13000000,35293.78000000,33125.55000000,33690.14000000,64123.87424500,2183406257.49382919,1109367
1625356800000,2021-07-04 00:00:00,BTC/USDT,34669.12000000,35967.85000000,34357.15000000,35286.51000000,43703.47578900,1544458212.39263313,1164970
1625270400000,2021-07-03 00:00:00,BTC/USDT,33786.54000000,34945.61000000,33316.73000000,34669.13000000,43044.57864100,1478423023.50348303,1078278
1625184000000,2021-07-02 00:00:00,BTC/USDT,33502.33000000,33977.04000000,32699.00000000,33786.55000000,56172.18137800,1870193042.39353716,1176457
1625097600000,2021-07-01 00:00:00,BTC/USDT,35045.00000000,35057.57000000,32711.00000000,33504.69000000,71708.26611200,2410809595.39045694,1240681
1625011200000,2021-06-30 00:00:00,BTC/USDT,35911.72000000,36100.00000000,34017.55000000,35045.00000000,77152.19763400,2688939291.09567313,1301036
1624924800000,2021-06-29 00:00:00,BTC/USDT,34494.89000000,36600.00000000,34225.43000000,35911.73000000,90788.79622000,3233947791.86338857,1673802
1624838400000,2021-06-28 00:00:00,BTC/USDT,34702.49000000,35297.71000000,33862.72000000,34494.89000000,82222.26781900,2837122779.52440164,1868627
1624752000000,2021-06-27 00:00:00,BTC/USDT,32283.65000000,34749.00000000,31973.45000000,34700.34000000,96613.24421100,3199980157.75033328,1799875
1624665600000,2021-06-26 00:00:00,BTC/USDT,31576.09000000,32730.00000000,30151.00000000,32283.65000000,107820.37528700,3376415451.79312412,1814051
1624579200000,2021-06-25 00:00:00,BTC/USDT,34663.08000000,35500.00000000,31275.00000000,31584.45000000,116061.13035600,3846120542.65729680,2094932
